model,model_name_original,label,sample_size_label1,accuracy,f1,iteration_n
ESGAN,30_ESGAN,30,1,0.879654449,0.846736743,0
ESGAN,60_ESGAN,60,2,0.875276672,0.848204896,0
ESGAN,100_ESGAN,100,3,0.888596594,0.865072968,0
ESGAN,300_ESGAN,300,10,0.913547838,0.89066219,0
ESGAN,900_ESGAN,900,30,0.905648762,0.893774255,0
ESGAN,1800_ESGAN,1800,60,0.914263709,0.894275335,0
ESGAN,2400_ESGAN,2400,80,0.911040556,0.908855984,0
ESGAN,3000_ESGAN,3000,100,0.897290075,0.869439981,0
ESGAN,30_ESGAN,30,1,0.867285324,0.845880561,1
ESGAN,60_ESGAN,60,2,0.870836614,0.853126077,1
ESGAN,100_ESGAN,100,3,0.881875127,0.870361178,1
ESGAN,300_ESGAN,300,10,0.906197688,0.888268033,1
ESGAN,900_ESGAN,900,30,0.90559538,0.890826145,1
ESGAN,1800_ESGAN,1800,60,0.908854988,0.898490976,1
ESGAN,2400_ESGAN,2400,80,0.908325951,0.906293731,1
ESGAN,3000_ESGAN,3000,100,0.88895683,0.861098866,1
ESGAN,30_ESGAN,30,1,0.879944446,0.835144311,2
ESGAN,60_ESGAN,60,2,0.872898012,0.844760286,2
ESGAN,100_ESGAN,100,3,0.883271003,0.869610136,2
ESGAN,300_ESGAN,300,10,0.906374556,0.901082267,2
ESGAN,900_ESGAN,900,30,0.912570377,0.889084444,2
ESGAN,1800_ESGAN,1800,60,0.909297482,0.89131149,2
ESGAN,2400_ESGAN,2400,80,0.909531314,0.897287507,2
ESGAN,3000_ESGAN,3000,100,0.891922127,0.884692217,2
ESGAN,30_ESGAN,30,1,0.86564038,0.849714393,3
ESGAN,60_ESGAN,60,2,0.877249646,0.854419904,3
ESGAN,100_ESGAN,100,3,0.891143543,0.886532562,3
ESGAN,300_ESGAN,300,10,0.913252208,0.884478491,3
ESGAN,900_ESGAN,900,30,0.911777295,0.891109795,3
ESGAN,1800_ESGAN,1800,60,0.911468452,0.90546542,3
ESGAN,2400_ESGAN,2400,80,0.912520367,0.891697194,3
ESGAN,3000_ESGAN,3000,100,0.890333932,0.871899535,3
ESGAN,30_ESGAN,30,1,0.870063694,0.845454545,4
ESGAN,60_ESGAN,60,2,0.87133758,0.845801527,4
ESGAN,100_ESGAN,100,3,0.889171975,0.875891583,4
ESGAN,300_ESGAN,300,10,0.907006369,0.892488954,4
ESGAN,900_ESGAN,900,30,0.908280255,0.891891892,4
ESGAN,1800_ESGAN,1800,60,0.90955414,0.897546898,4
ESGAN,2400_ESGAN,2400,80,0.910828025,0.901408451,4
ESGAN,3000_ESGAN,3000,100,0.886624204,0.870827286,4
